,item,Itemvalue,sentence,z
1,1,1.25555555555556,黒板を見た。,-0.21875
2,10,1.42222222222222,傷が痛んだ。,-0.0520833333333335
3,11,1.38333333333333,教科書をめくった。,-0.0909722222222222
4,12,1.85,玉ねぎを切った。,0.375694444444445
5,13,1.87222222222222,生地を混ぜた。,0.397916666666667
6,14,1.45,ハードルを飛び越えた。,-0.0243055555555556
7,15,1.34444444444444,鼻をすすった。,-0.129861111111111
8,16,1.82222222222222,バレリーナが回った。,0.347916666666667
9,17,1.79444444444444,皿を拭いた。,0.320138888888889
10,18,1.41666666666667,涙を流した。,-0.057638888888889
11,19,1.07777777777778,ドアノブを回した。,-0.396527777777778
12,2,1.24444444444444,稲妻が光った。,-0.229861111111111
13,20,1.71666666666667,手を叩いた。,0.242361111111111
14,21,1.37222222222222,バットを振った。,-0.102083333333333
15,22,1.14444444444444,指を鳴らした。,-0.329861111111111
16,23,1.33888888888889,写真を撮った。,-0.135416666666667
17,24,1.97777777777778,ネギを刻んだ。,0.503472222222222
18,3,1.09444444444444,枝を折った。,-0.379861111111111
19,4,1.66111111111111,販売員がまばたきをした。,0.186805555555555
20,5,1.85555555555556,患者が咳き込んだ。,0.38125
21,6,1.77222222222222,建物が揺れた。,0.297916666666667
22,7,1.02222222222222,社長がお辞儀した。,-0.452083333333333
23,8,1.20555555555556,刑事が発砲した。,-0.26875
24,9,1.28888888888889,肉を刺した。,-0.185416666666667
